wavelength,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
472,0.450366985,0.428122312,0.067663657,0.309194817,0.255868822,0.059482925,0.060721232,0.350357284,0.121889588,0.122330071,0.101546368,0.077017082,0.41358962,0.248022321,0.090060184,0.051133027,0.094493175,0.280169693,0.926572298,0.57168488,0.348717289,0.187769045,0.088925093,0.038015497
473,0.455011772,0.425595229,0.068074175,0.308568865,0.260461576,0.06039458,0.06074185,0.349067658,0.121516885,0.121298838,0.103503699,0.07803021,0.416187211,0.245831126,0.093384929,0.050925503,0.097347607,0.275699048,0.927136903,0.573232628,0.347310148,0.187752378,0.088553795,0.037304384
474,0.463667197,0.422004964,0.068329501,0.307373526,0.26308341,0.059847747,0.060150761,0.343396351,0.12106487,0.119305767,0.105152201,0.07976009,0.418529805,0.242463189,0.098066573,0.05118711,0.098134402,0.267404134,0.929344519,0.572234842,0.348591562,0.187515734,0.088172735,0.038125709
475,0.468718428,0.419506565,0.069155674,0.302313671,0.266555202,0.060104287,0.061026451,0.338442939,0.120771481,0.117633812,0.106661613,0.079887883,0.420504788,0.238336569,0.101455184,0.051036986,0.100314132,0.262501907,0.929977097,0.569923461,0.349539559,0.187305478,0.088212203,0.037684574
476,0.474358508,0.416850644,0.069084106,0.298358914,0.268875217,0.059519638,0.061029311,0.332266026,0.120854191,0.116304027,0.109844059,0.080585918,0.421435001,0.236571654,0.106432424,0.051209057,0.102571503,0.254892858,0.928167552,0.567402939,0.348586956,0.187660952,0.087542517,0.037969512
477,0.478222116,0.416919097,0.069985597,0.299256552,0.275152723,0.060294511,0.061402637,0.331193692,0.120206968,0.11454511,0.113471875,0.081771086,0.426664608,0.23366057,0.110116743,0.050273434,0.104943651,0.248024077,0.93165243,0.567220668,0.348854349,0.187711343,0.088039125,0.037295317
478,0.485980416,0.415414634,0.070844266,0.29897112,0.280182841,0.06028068,0.060985947,0.327806529,0.120579668,0.112724579,0.115958727,0.082485851,0.427440875,0.230717289,0.113944756,0.050245309,0.106944916,0.241605266,0.932857626,0.566661628,0.34995456,0.188325927,0.088218898,0.037825162
479,0.492499184,0.413649558,0.071679453,0.2965075,0.28525258,0.060567516,0.061151345,0.324025861,0.120578529,0.110717732,0.11878038,0.083800349,0.430761888,0.228375201,0.118741407,0.050054519,0.109470113,0.234694839,0.930638758,0.564456048,0.348469213,0.187009493,0.0879784,0.037423274
480,0.498857407,0.409347907,0.072008398,0.296042917,0.289211338,0.060415327,0.061260433,0.317395694,0.119401471,0.10836461,0.121147617,0.083793676,0.432373375,0.225596209,0.122878649,0.050967481,0.111853916,0.228376913,0.933812286,0.567283184,0.347647569,0.187610731,0.087913612,0.037295692
481,0.506308752,0.405614302,0.072950667,0.293791301,0.292933207,0.060911086,0.061281701,0.313300694,0.119074053,0.107064911,0.124389764,0.084799068,0.435643037,0.222538885,0.127474069,0.050136265,0.11370309,0.224105721,0.935134722,0.568039085,0.346670679,0.186279695,0.088312974,0.037970991
482,0.513362247,0.40166412,0.073481021,0.291393206,0.294054615,0.06101845,0.061189192,0.306636403,0.117679139,0.105389816,0.128084706,0.085761864,0.436934767,0.21939419,0.132261911,0.050210244,0.117031846,0.220030196,0.936215481,0.566274907,0.346788354,0.18774301,0.088201685,0.037900438
483,0.518612769,0.397225141,0.072773487,0.289864287,0.298880758,0.061005417,0.061248246,0.300198884,0.116322797,0.103841836,0.133049943,0.08710484,0.438638397,0.215910227,0.136598257,0.050194457,0.119563786,0.216888471,0.934871883,0.566239121,0.348084605,0.18827684,0.08767399,0.038316389
484,0.521023219,0.3936975,0.073078246,0.289379203,0.301708367,0.061509506,0.060596116,0.293348348,0.116485811,0.101534334,0.137866874,0.087016947,0.437997252,0.212356544,0.13970666,0.049567413,0.122956637,0.211340351,0.934464577,0.565718303,0.34462046,0.187272232,0.087838579,0.038185095
485,0.523454553,0.389045772,0.072763154,0.286885449,0.301866059,0.061169029,0.060572711,0.287953027,0.114343811,0.09981191,0.14073586,0.086342651,0.437605062,0.208184311,0.142631355,0.049367446,0.1246182,0.206538133,0.930519548,0.564982637,0.342130231,0.186785055,0.087957091,0.037945253
486,0.526770422,0.385321197,0.072849444,0.283871525,0.30035937,0.061021805,0.060717515,0.284053871,0.113496974,0.098312221,0.143288825,0.086288874,0.437273629,0.205695815,0.144226758,0.049081763,0.125736536,0.202872172,0.929619796,0.563877151,0.340203259,0.185696582,0.08685255,0.037389905
487,0.535319213,0.384627216,0.073653277,0.283644791,0.304024018,0.061541256,0.060826003,0.279392805,0.113581782,0.097312331,0.149734337,0.087370543,0.44032703,0.203758401,0.1495452,0.049303709,0.13004775,0.200608289,0.932932884,0.566089173,0.34204994,0.185863595,0.087200939,0.037716703
488,0.541700254,0.380583979,0.074283599,0.281583522,0.307890166,0.062495688,0.061578404,0.272670126,0.113432925,0.096745672,0.156541019,0.08751636,0.439620449,0.200178968,0.15444573,0.049200081,0.135299853,0.197323428,0.92929338,0.566921033,0.344139182,0.186164013,0.087447102,0.037620951
489,0.546149905,0.377550517,0.073705875,0.279337614,0.308773829,0.062648759,0.061520779,0.26792882,0.113475209,0.094810747,0.160622977,0.087608748,0.438758718,0.196869438,0.157339817,0.049348284,0.138652482,0.191887546,0.929198593,0.566843443,0.344325861,0.186024361,0.087389834,0.03740828
490,0.549450402,0.373795493,0.073254528,0.276220903,0.309373213,0.062726698,0.061678591,0.262004517,0.112751734,0.092532442,0.164358062,0.088114285,0.437143286,0.194909541,0.160096252,0.048931958,0.141290268,0.187103948,0.930425362,0.565880253,0.343863159,0.185568428,0.086607272,0.037071426
491,0.555812928,0.372378139,0.07472893,0.277356749,0.313327636,0.063470296,0.062752416,0.255862273,0.113014343,0.092394351,0.17250899,0.089376246,0.439922973,0.194354548,0.165367825,0.049210766,0.14604113,0.18228962,0.935139206,0.570155256,0.344592952,0.186618071,0.086284175,0.037929517
492,0.559628627,0.369133469,0.07517085,0.275623357,0.316734566,0.063553431,0.062985234,0.247667217,0.113200492,0.091131645,0.179869515,0.090112948,0.438220562,0.191831914,0.170806313,0.04949968,0.151853208,0.177366674,0.935507937,0.572875015,0.346205506,0.187364987,0.086452214,0.037898563
